Author,Comment,Clean_Comment
@ApriantoDeki-s3k,"Udah 5 tahun, tapi tampil lagi di beranda",udah tahun tapi tampil lagi di beranda
@vandoovy,3 months later  Weird Genius collab with Alan Walker in tomorrowland,months later weird genius collab with alan walker in tomorrowland
@mellsssssss-n9k,The first i heard this song from my student when she did the tiktok editing i thought this was a western song but wow when i look for it on youtube its from my own country such an awesome song. I’ve fallen in love with this song and also the MV,the first i heard this song from my student when she did the tiktok editing i thought this was a western song but wow when i look for it on youtube its from my own country such an awesome song ive fallen in love with this song and also the mv
@barbuemordez9099,Me  gusta mucho el tono vocal de la chica!!,me gusta mucho el tono vocal de la chica
@QiZYY-78,"i think this song was from international artist.. omg this from indonesian industry , so talented .. good jobs.. hopefully u will be the top one on international industry one day.. may god blessed u.. 

salam from malaysian",i think this song was from international artist omg this from indonesian industry so talented good jobs hopefully u will be the top one on international industry one day may god blessed u salam from malaysian
@joshhvr,"Kok W Merinding Ya Denger Lagunya🇮🇩
Pokoknya Budaya Indonesia The Best Lah🇮🇩
We Should Proud Be Indonesia People🇮🇩",kok w merinding ya denger lagunya pokoknya budaya indonesia the best lah we should proud be indonesia people
@allisadzakwan5332,this is MASTERPIECE!!! CANT GET RID OF THE GOOSEBUMPS,this is masterpiece cant get rid of the goosebumps
@nienaarifin9575,Kesenian daerah ku jaranan kesenian nasional wayang,kesenian daerah ku jaranan kesenian nasional wayang
@w_aww_awww,"This is a good song!

Unpopular opinion; 2:21-2:26 avatar aang and fire lord ozai battle scene mode on


Edited: thanks for the likes!",this is a good song unpopular opinion avatar aang and fire lord ozai battle scene mode on edited thanks for the likes
@suryaadip1004,"Salut,
Keren banget garapannya,


Diulang - ulang belum bosen eh",salut keren banget garapannya diulang ulang belum bosen eh
@dikicandra4021,Indonesia pride,indonesia pride
@muhammadikbbar1075,Gila sih 5 tahun sudah dan di 2025 ini gapernah bosen buat denger dan nonton video nya,gila sih tahun sudah dan di ini gapernah bosen buat denger dan nonton video nya
@SwaritSohaard,This song is Awesome . This is one powerful song . I love this a lot . Indonesian music at its very best . Huge respect from India 🇮🇳,this song is awesome this is one powerful song i love this a lot indonesian music at its very best huge respect from india
@yellowd3035,"I think it is just remix that someone made when i heard in tik tok. Wow this song beautiful, especially the chorus! Can't wait another song",i think it is just remix that someone made when i heard in tik tok wow this song beautiful especially the chorus cant wait another song
@ILYTH23,"Im a Mexican American, I stumbled upon this song from an indonesian makeup artist on tiktok. and I am obsessed with this song!!",im a mexican american i stumbled upon this song from an indonesian makeup artist on tiktok and i am obsessed with this song
@islam_back108,"I was born a fool, 
Broken all the rules, 
(Ohh) 
Seeing all null, 
Denying all for the Truth, 
(Ohh) 
Everything has changed, 
It all happened for a reason, 
Down from the first stage, 
It Isn't for something we founght for, 
Never wanted this kind of pain, 
Turn myself so cold and heartless, 
But one thing you should know;

0:56 
Star part

Kowe ra iso 'mlayu
Saka (soko) kesalahan, 
Ajining diri ana (ono) 
Ing LATHI! 

Pushing through the, 
Countless pain, and 
All i know that this love's a bless and curse
Everything has changed, 
It all happened for a reason, 
Down from the first stage, 
It isn't something we fought for, never wanted this kind of pain,  turned myself so cold and heartless but one thing you should know;

2:16  
Star part 2

Kowe ra iso 'mlayu
Saka (soko)  kesalahan, 
Ajining diri ana (ono) 
Ing LATHI!  


END

Edit: pin me?",i was born a fool broken all the rules ohh seeing all null denying all for the truth ohh everything has changed it all happened for a reason down from the first stage it isnt for something we founght for never wanted this kind of pain turn myself so cold and heartless but one thing you should know star part kowe ra iso mlayu saka soko kesalahan ajining diri ana ono ing lathi pushing through the countless pain and all i know that this loves a bless and curse everything has changed it all happened for a reason down from the first stage it isnt something we fought for never wanted this kind of pain turned myself so cold and heartless but one thing you should know star part kowe ra iso mlayu saka soko kesalahan ajining diri ana ono ing lathi end edit pin me
@muhammadhendri4263,"Musicnya kurang ahhh



Kurang lama",musicnya kurang ahhh kurang lama
@sugiantogunawan2123,I never like upbeat songs. But I do with this one. Salute!,i never like upbeat songs but i do with this one salute
@mc.udaloli6453,"YA ALLAH TO BE HONEST, IM CRYING TO HEAR, AND WATCHED THIS VIDEO ALSO THE ACTOR INSIDE ! , YOU KNOW WHAT ? YOU HAVE MAKE INDONESIA PROUD WITH THIS, I HOPE YOU CAN GO INTERNATIONAL AND ALWAYS BRINGING THE SONG SUCH AS THIS , WHICH IS CONTAIN OF INDONESIA CULTURE INSIDE  :)",ya allah to be honest im crying to hear and watched this video also the actor inside you know what you have make indonesia proud with this i hope you can go international and always bringing the song such as this which is contain of indonesia culture inside
@PutoriHasibuan,Judul lagu bahasa Indonesia nya like 1 dong: Saya terlahir sebagai orang bodoh melanggar semua aturan melihat semua nol menyangkal semua kebenaran semuanya telah berubah semuanya terjadi karena alasan sejak tahap pertama itu bukan untuk sesuatu yang kita perjuangkan tidak pernah ingin rasa sakit semacam ini membuat diri saya begitu dingin dan tidak berperasaan tetapi satu hal yang harus Anda ketahui Anda tidak dapat melarikan diri dari kesalahan Anda kesalahan melakukan harga diri terletak di lidah (kata-kata) mendorong melalui rasa sakit yang tak terhitung jumlahnya dan semua yang saya tahu bahwa ini semua cinta adalah berkat dan kutukan telah mengubah semuanya terjadi karena suatu alasan sejak tahap pertama itu bukan sesuatu yang kita berjuang untuk tidak pernah ingin rasa sakit seperti ini membuat diri saya begitu dingin dan tidak berperasaan tetapi satu hal yang harus Anda ketahui Anda tidak bisa lari dari kesalahan Anda salah melakukan harga diri terletak di lidah (kata-kata),judul lagu bahasa indonesia nya like dong saya terlahir sebagai orang bodoh melanggar semua aturan melihat semua nol menyangkal semua kebenaran semuanya telah berubah semuanya terjadi karena alasan sejak tahap pertama itu bukan untuk sesuatu yang kita perjuangkan tidak pernah ingin rasa sakit semacam ini membuat diri saya begitu dingin dan tidak berperasaan tetapi satu hal yang harus anda ketahui anda tidak dapat melarikan diri dari kesalahan anda kesalahan melakukan harga diri terletak di lidah katakata mendorong melalui rasa sakit yang tak terhitung jumlahnya dan semua yang saya tahu bahwa ini semua cinta adalah berkat dan kutukan telah mengubah semuanya terjadi karena suatu alasan sejak tahap pertama itu bukan sesuatu yang kita berjuang untuk tidak pernah ingin rasa sakit seperti ini membuat diri saya begitu dingin dan tidak berperasaan tetapi satu hal yang harus anda ketahui anda tidak bisa lari dari kesalahan anda salah melakukan harga diri terletak di lidah katakata
@feggymelati9471,"Big thanks to Reza who suggest that Javaness lyrics in this song. It was so fckin' epic godamnit!!
Krna setau gue lirik bagian ""kowe raiso mlayu.....dst"" itu bhs inggris kan.
Gila sih ini woy lah ah menangis sambil jatuh cinta.",big thanks to reza who suggest that javaness lyrics in this song it was so fckin epic godamnit krna setau gue lirik bagian kowe raiso mlayudst itu bhs inggris kan gila sih ini woy lah ah menangis sambil jatuh cinta
@xovlovl,"Udh 100 jt aja nih,, seneng banget gw gilasihhhh karya anak bangsa,, lebih dari kata keren pokoknya,,,",sudah jt saja nih seneng banget gw gilasihhhh karya anak bangsa lebih dari kata keren pokoknya
@putriyulistiarahayu2553,"Ini Epic parah sih 

Harusnya lebih bs trending dari lagu Tiktod"" goyang mamah muda ndasmu
  --- I Love Indonesia ---",ini epic parah sih harusnya lebih bs trending dari lagu tiktod goyang mamah muda ndasmu i love indonesia
@mr.chunkie3973,"Iki sik jenenge luar biasa.
Edaaaan.
Pancen istimewa.",iki sik jenenge luar biasa edaaaan pancen istimewa
@armansubagus5347,Kalo bisa like berkali kali bakal gua like trs nih anjir,kalo bisa like berkali kali bakal gua like trs nih anjir
@bgsyogi9581,"Wow ini keren banget sih kalau Indonesia ada cara penghargaan buat musisi gitu nih harus banget masuk chart musik dan trending
Lagunya easy listening dan memadukan musik edm+Jawa(gamelan) dan music Vidio nya nggak kalah keren banget memadukan budaya jawaaaa sumpah ni harus banget di buat story' versi",wow ini keren banget sih kalau indonesia ada cara penghargaan buat musisi gitu nih harus banget masuk chart musik dan trending lagunya easy listening dan memadukan musik edmjawagamelan dan music vidio nya tidak kalah keren banget memadukan budaya jawaaaa sumpah ni harus banget di buat story versi
@vika.lelozee,You rarely get on TV? The song is great so I really want to see it on TV!,you rarely get on tv the song is great so i really want to see it on tv
