Author,Comment,Clean_Comment
@violettewautier,️,
@diazavriza406,"Edm = udah keren banget
Gamelan = lebih dari kata keren

Edm + Gamelan = auto Kesurupan Njir",edm udah keren banget gamelan lebih dari kata keren edm gamelan auto kesurupan njir
@777_chanel,"Sinden : mas pengen nyinden tapi karo party
WG : yoo gass",sinden mas pengen nyinden tapi karo party wg yoo gass
@NanyaElite,"Anyone here in July, 2025?",anyone here in july
@milaamylia2039,Sept. 2025... Anyone?,sept anyone
@chlaur3072,"If you guys ever collabed with stray kids that would be INSANEEEE, like the music styles fit sooo well",if you guys ever collabed with stray kids that would be insaneeee like the music styles fit sooo well
@clarity5703,"It was a hit last year, glad Chan bring me back to this song",it was a hit last year glad chan bring me back to this song
@amalia3710,"It’s my first time hearing this song on Chan’s live, thank you Channie, i already love this song so much",its my first time hearing this song on chans live thank you channie i already love this song so much
@bigmovie4584,Yang dengerin di th 2025 hadir,yang dengerin di th hadir
@divogalindra9821,"The first time I heard this song on Tiktok I thought it was a western song combined with Indonesia’s traditional instrument but damn I was wrong! Found out its Indonesian artist, epic!",the first time i heard this song on tiktok i thought it was a western song combined with indonesias traditional instrument but damn i was wrong found out its indonesian artist epic
@penikmatmusik3259,"Wajarlah lagu ini mendunia karna lirikny kren bnget bhsa inggris dan jawa..
Di tambah musikny mewah dan megah..",wajarlah lagu ini mendunia karna lirikny kren bnget bhsa inggris dan jawa di tambah musikny mewah dan megah
@jipansan8935,"""Mas aku kepingin nyinden, tapi yo karo dugem""
WG:yo.",mas aku kepingin nyinden tapi yo karo dugem wgyo
@serawajahjeleksera6082,"Mampir ke sini bln september 2025
Sumpah lagunya keren bgttttttt",mampir ke sini bln september sumpah lagunya keren bgttttttt
@aseprahmansetiadi6532,"Omg there have a lot indonesian culture


Agnez mo: left the chat with left diamond",omg there have a lot indonesian culture agnez mo left the chat with left diamond
@tomviva12,"God damn, merinding anj...


This was dope!!!",god damn merinding anj this was dope
@009chavansujatas5,I'm here after listening this on Chan's room todayy!! This song is MASTERPIECE!♡,im here after listening this on chans room todayy this song is masterpiece
@umdafulkhorioficial,"2025 september , inget covid ternyata bisa berjuang sampe sejauh ini , alhamdulilah",september inget covid ternyata bisa berjuang sampe sejauh ini alhamdulilah
@kinasa5679,01:12 HOLY S*** OUT OF THIS WORLD,holy s out of this world
@jemiafriwan4100,"Sara fajira: Mas aku pengen nyinden. Tapi seng karo dugeman, gledek e ojo lali mas
Weird genius: Yo!",sara fajira mas aku pengen nyinden tapi seng karo dugeman gledek e ojo lali mas weird genius yo
@ayya_twv9983,"Kesini lagi setelah reaction bang chan yang dimana, dia pertama kali nge react sampe di setel sampe akhir dan di ulang. Jujur dr awal ini lagu muncul emang the best sih lagunya, apalagi di campurkan dengan musik tradisional. Aku berharap kawan2 Weird Genius membuat music semacam ini lagi.",kesini lagi setelah reaction bang chan yang dimana dia pertama kali nge react sampe di setel sampe akhir dan di ulang jujur dr awal ini lagu muncul emang the best sih lagunya apalagi di campurkan dengan musik tradisional aku berharap kawan weird genius membuat music semacam ini lagi
@Hanggar-tp5wv,"dan yap, 5 tahun berlalu....",dan yap tahun berlalu
@oyonkhab5792,"Go #TRENDING !!!!
Proccess 20M viewers go go #LATHI INDONESIA POWER !!! YOU CAN DO IT",go trending proccess m viewers go go lathi indonesia power you can do it
@rizkiandini2200,"heard this song from tiktok, i thought it was a song from westerners and fan from Indonesia mixed that song. ternyata wow saya merinding ternyata it actually MADE FROM INDONESIA",heard this song from tiktok i thought it was a song from westerners and fan from indonesia mixed that song ternyata wow saya merinding ternyata it actually made from indonesia
@sakina5052,INDONESIAN DJ IS ON ANOTHER LEVEL RIGHT NOW OMG  I LIKE THIS SONG SM,indonesian dj is on another level right now omg i like this song sama
@rikadamayanti7735,Haven't see in few month and Wauuuw 158 already?,havent see in few month and wauuuw already
@alexanderluka4258,"As an indonesian i am trully proud
This song is completely epic",as an indonesian i am trully proud this song is completely epic
@andrywbw2362,Absen yang hadir di 2024 siapa aja nih,absen yang hadir di siapa saja nih
@idkholussurur1749,Eh anjirr SUMPAH DEMI ALLAH Keren Banget dah.. Biasanya di TikTok Cuman Tauku sepenggalan aja Yg Bagian arasnsemen jawa.. ini Kali pertama Tau Versi full Nya,eh anjirr sumpah demi allah keren banget dah biasanya di tiktok cuman tauku sepenggalan saja yang bagian arasnsemen jawa ini kali pertama tau versi full nya
@ferryirfan7121,Gila udah 4 tahun? Tapi tetep bagus banget,gila udah tahun tapi tetep bagus banget
@mousselmistelfeld4683,"Me: this music is very good
Me: looking for English comments

Me thinking rn: Indonesian people certainly know how to appreciate their art, 90% comments are Indonesian",me this music is very good me looking for english comments me thinking rn indonesian people certainly know how to appreciate their art comments are indonesian
@ryanmoch9163,This is culture remix,this is culture remix
@daffarizky4960,"Friend"" How many times you have been watching this?""

Me: ""Not Enough.""",friend how many times you have been watching this me not enough
@ArdiPradita,udah 5 tahun ga kerasa,udah tahun tidak kerasa
@---lv3nv,"UDAH GO INTERNASIONAL KAK?
ALLOHUMMASALLIIALAASAIDINAAMUHAMMAD",udah go internasional kak allohummasalliialaasaidinaamuhammad
@ozgirl7701,"it's really good!!! The vocals, the instrumentals, the song's production was really awesome.. Glad to have heard it first on Chan's room",its really good the vocals the instrumentals the songs production was really awesome glad to have heard it first on chans room
@PHX-Bømb,"Wayang ""Image of dominance control in toxic relationship/ Someone who controls others dominantly""
Glass eater ""Embrace your soul to resist and fight the lies or painful words""
Evil enchantress ""the darkest side that emerges from someone after getting hurts'
Kuda lumping ""an illustration of resistance""
Traditional dance ""Ilustrates the beautiful and harmonious side of the relationships, sometimes it also describes the feelings of the people involved""
Flamethrower guy ""illustrates a fiery desire to do things""
Fire eater ""symbol of courage to take all of the pains""

It's my opinion, what is yours ?",wayang image of dominance control in toxic relationship someone who controls others dominantly glass eater embrace your soul to resist and fight the lies or painful words evil enchantress the darkest side that emerges from someone after getting hurts kuda lumping an illustration of resistance traditional dance ilustrates the beautiful and harmonious side of the relationships sometimes it also describes the feelings of the people involved flamethrower guy illustrates a fiery desire to do things fire eater symbol of courage to take all of the pains its my opinion what is yours
@ElisNingsih-um6ni,lagu ini tentang seseorang yang berambisi untuk sukses megapai cita2 krn hinaan cacian dan direndahkan mbuatnya bangkit dan ingin membuktikan bahwa dia akan berhasil,lagu ini tentang seseorang yang berambisi untuk sukses megapai cita krn hinaan cacian dan direndahkan mbuatnya bangkit dan ingin membuktikan bahwa dia akan berhasil
@enigmxxa,"omg this is such a dope! wish i had found you sooner. thanking Bang Chan for bringing many of us to you, your music. love from Australia",omg this is such a dope wish i had found you sooner thanking bang chan for bringing many of us to you your music love from australia
@barbuemordez9099,"Wow no sabía que esto tenía video... Me encanta el puente ... Cada vez mas me gusta la música edm, gracias a bangchan y a STAY por ampliar mi gusto musical.",wow no saba que esto tena video me encanta el puente cada vez mas me gusta la msica edm gracias a bangchan y a stay por ampliar mi gusto musical
@baguskecil7808,"""koe Ra ISO mlayu Soko kesalahan ajineng diri Ono ing lathi "" 

Coh ngeri lurr ,.... Keren dap pokok e",koe ra iso mlayu soko kesalahan ajineng diri ono ing lathi coh ngeri lurr keren dap pokok e
@vladimirjimmy3969,OCT 2025,oct
@xii.ips.2.06fajardwiyanto3,Music ini yang sudah menyebar di Tiktok dengan versi transisi semua transitioner telat membuat dengan lagu ini termasuk aku juga.SEMANGAT!!!,music ini yang sudah menyebar di tiktok dengan versi transisi semua transitioner telat membuat dengan lagu ini termasuk aku jugasemangat
@zeshbastila0510,"really"" merinding pas part ""kowe ra iso mlayu"" gila2, truely weird and so genius for making a song, and i cant wait for next new song!! much love for this one!!!",really merinding pas part kowe ra iso mlayu gila truely weird and so genius for making a song and i cant wait for next new song much love for this one
@pejuangmalam5681,"0%      bad word
0%      nudity
5%      traditional
5%      international

100% talent
100% laga kolosal",bad word nudity traditional international talent laga kolosal
@arysidabutar,2025 masi dengar ini ngumpul,masi dengar ini ngumpul
@Alexa-dq4wz,Chan se veía muy feliz y debo decir que la canción es genial así que gracias por la gran recomendación Stay!!,chan se vea muy feliz y debo decir que la cancin es genial as que gracias por la gran recomendacin stay
@rahmanjunior4851,"Sinden : aku pengen nyinden,tapi karo dugem

WG : ?? TROBOSS AJALAH ANJGG",sinden aku pengen nyindentapi karo dugem wg troboss ajalah anjgg
@morningdew5328,"a beautiful human who trapped in toxic relationship 

WOW",a beautiful human who trapped in toxic relationship wow
@esBatu-v6w,Perasaan ini lagu baru kemarin  tulis ternyata usah 5tahun yang lalu aja ternyata waktu begitu cepat,perasaan ini lagu baru kemarin tulis ternyata usah tahun yang lalu saja ternyata waktu begitu cepat
@leuynn,"Everyone : DOPE!!
TikTok : Hippity Hoppty This Is Now My Property",everyone dope tiktok hippity hoppty this is now my property
@staychaa,"lokal rasa luar

harus go internasional sihh",lokal rasa luar harus go internasional sihh
@alexandradevi5901,"Kowe Ra iso mlayu Saka kesalahan. Ajining diri Ono neng Lathi.

Jancuk! Bangga tenan aku dadi wong jowo krungu lagu Iki",kowe ra iso mlayu saka kesalahan ajining diri ono neng lathi jancuk bangga tenan aku dadi wong jowo krungu lagu iki
@kaitokid1630,August 2025 ?,august
@talentasigiro1027,GOES TO 1MILLION LIKESSSSSS,goes to million likessssss
@JichuFanss,"Now, its 2024. Masih terngiang2 sama ni lagu kadang, bangga banget cuy indonesia punya lagu sebagus ini",now its masih terngiang sama ni lagu kadang bangga banget cuy indonesia punya lagu sebagus ini
@muhrezay,"This is masterpiece dude
As a Javanese i'm so grateful to see this
Next level of weird genius",this is masterpiece dude as a javanese im so grateful to see this next level of weird genius
@MukWongDeso,"Uda denger lagu ini sejak jaman hits dulu, ini dengerin lagi pakai TWS, baru sadar lagu ini masterpiece beneran",uda denger lagu ini sejak jaman hits dulu ini dengerin lagi pakai tws baru sadar lagu ini masterpiece beneran
@haihola1458,"GILA KEREN BANGET, JARANG MUSIK INDO SE UWOW GINI dan SEPECAHHH INI

#CINTABUDAYAINDONESIA
#AYOVIRALKAN",gila keren banget jarang musik indo se uwow gini dan sepecahhh ini cintabudayaindonesia ayoviralkan
@nicoleurtal7028,I'm from Philippines at first I heard this song on tiktok I was so shock like this song is nice so I search it in yt and yeah I was so shock on the mv so fucking niceeeeee I love it,im from philippines at first i heard this song on tiktok i was so shock like this song is nice so i search it in yt and yeah i was so shock on the mv so fucking niceeeeee i love it
@adristinka,"seriously, this song deserves more viewers omg! CAUSE THIS SONG IS MASTERPIECE.  PERIODT.",seriously this song deserves more viewers omg cause this song is masterpiece periodt
@putrinuramalia8464,lagu ini mengingatkan ketika sedang lockdown masa masa covid ..,lagu ini mengingatkan ketika sedang lockdown masa masa covid
@chefjahat3765,"This is what i call 3 in 1. 
ART
CULTURE
MUSIC.",this is what i call in art culture music
@badex2110,"epic song exist

TikTok : ""it's free real estate""",epic song exist tiktok its free real estate
@Hlsakti,"As an Indonesian, I am very proud of this song. Combining EDM culture with thick Javanese elements makes listeners shudder (even though I'm Sundanese). Congratulations weird genius, you vibrate the world of Indonesian music!
We are all waiting for your works with other local cultural combinations",as an indonesian i am very proud of this song combining edm culture with thick javanese elements makes listeners shudder even though im sundanese congratulations weird genius you vibrate the world of indonesian music we are all waiting for your works with other local cultural combinations
@anindiaputrihardini8109,cung yang masih suka bolak balik tiap tahun?,cung yang masih suka bolak balik tiap tahun
@laluluhurariestawijaya5550,"Suicide Squad : We have the best witch (Enchantress).
Weird Genius : Hold my beer.

This is Indonesian next level Enchantress yo.",suicide squad we have the best witch enchantress weird genius hold my beer this is indonesian next level enchantress yo
@bloodylilyy1846,Not just a name. You're literally a weired genius.,not just a name youre literally a weired genius
@daristaufik9700,Produk Asli INDONESIA yg dulu sempat Mendunia lagu ini,produk asli indonesia yang dulu sempat mendunia lagu ini
@aidahrestiaprilia1373,it's a cool blending of Java culture and Western,its a cool blending of java culture and western
@haninabilah4614,Srsly this song need to go further the way she kept Indonesian culture amazed me. Dope asf I would literally suggest this to my Malaysian friends. Love fr Malaysia️,srsly this song need to go further the way she kept indonesian culture amazed me dope asf i would literally suggest this to my malaysian friends love fr malaysia
@yutakalatifah1039,tahu lagu keren ini malah dari anak 9th alias anaku...kaget selera dia keren jg dan makna lagu ini luar biasa dng perpaduan musik yang amazing. Teruslah berkarya...gas,tahu lagu keren ini malah dari anak th alias anakukaget selera dia keren jg dan makna lagu ini luar biasa dng perpaduan musik yang amazing teruslah berkaryagas
@restearubyz,I'm here because it's chan's room and wow it's so good that I play it over and over again the song still gives me goosebumps,im here because its chans room and wow its so good that i play it over and over again the song still gives me goosebumps
@defriosaka1651,"Editor: So how many thunders do you want?
Weird Genius: Yes",editor so how many thunders do you want weird genius yes
@lutfiyara5188,"Mbak sinden : pengen party karo nyinden
WG : nyoh",mbak sinden pengen party karo nyinden wg nyoh
@zakirComment,Ex Limkokwing student from bangladesh 🇧🇩,ex limkokwing student from bangladesh
@yeebee2016,"""Sara Fajira goes famous""


88Rising : we'll take her thanks",sara fajira goes famous rising well take her thanks
@aidenray2458,"Anjir efek pas darkside nya itu loh astagah, udah make up ala Ahmanet, aura hitam kayak kemunculan Enchantress, lightning rage Mode nya Thor.  Gila suka bngt",anjir efek pas darkside nya itu loh astagah udah make up ala ahmanet aura hitam kayak kemunculan enchantress lightning rage mode nya thor gila suka banget
@jasslyndrw1009,"this song is really amazing and i'm also proud to be an indonesian stay, thank you chan and stays",this song is really amazing and im also proud to be an indonesian stay thank you chan and stays
@showUtheW4Y,Suatu hari dimana covid dimana mana belajar dirumah cuma scroll tiktok seharian,suatu hari dimana covid dimana mana belajar dirumah cuma scroll tiktok seharian
@mursalinashari7387,Asli Keren...merinding gue seriusan... pas sara fajira jatoh merinding gua gk abis2....seriusan suka pake banget banget...next level indonesian music bgt ini...,asli kerenmerinding gue seriusan pas sara fajira jatoh merinding gua tidak abisseriusan suka pake banget bangetnext level indonesian music banget ini
@tortugastore6004,"EDM = dancing
GAMELAN = also dancing
EDM X GAMELAN = the CONJURING 4",edm dancing gamelan also dancing edm x gamelan the conjuring
@yheefira,Gak kerasa udah 2023 lagu ini masih  terngiang di kepala.. Bangga banget setelah tau ini lagu Indonesia.. respect kepada tim weird jenius,gak kerasa udah lagu ini masih terngiang di kepala bangga banget setelah tau ini lagu indonesia respect kepada tim weird jenius
@alimasyhar6419,"Lagu ini mengingatkanku saat PSBB, PPKM, PCR, Lockdown, Social Distancing yang semua amit² jangan sampe keulang lagi",lagu ini mengingatkanku saat psbb ppkm pcr lockdown social distancing yang semua amit jangan sampe keulang lagi
@reus-id4010,"I was born a fool
Broken all the rules, ooh
Seeing all null
Denying all of the truth, ooh

Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know

(Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi)

Pushing through the countless pain
And all I know that this love's a bless and curse

Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know

(Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi)",i was born a fool broken all the rules ooh seeing all null denying all of the truth ooh everything has changed it all happened for a reason down from the first stage it isnt something we fought for never wanted this kind of pain turned myself so cold and heartless but one thing you should know kowe ra iso mlayu saka kesalahan ajining diri ana ing lathi pushing through the countless pain and all i know that this loves a bless and curse everything has changed it all happened for a reason down from the first stage it isnt something we fought for never wanted this kind of pain turned myself so cold and heartless but one thing you should know kowe ra iso mlayu saka kesalahan ajining diri ana ing lathi
@rassya2056,"HUSH HUSH JANGAN DISINI
GO INTERNASIONAL AJA",hush hush jangan disini go internasional saja
@aninolate,"They are truly a genius... How they choose ""kuda lumping"" here, it show how toxic relationship really is. In ""kuda lumping"" there is an act of eating lamp and glass, but they don't feel the pain, just like people in toxic relationship, they hurt themselves but can't feel it. 

The music , song and her voice blend perfectly... 
I play it over and over again

Great job!!!!",they are truly a genius how they choose kuda lumping here it show how toxic relationship really is in kuda lumping there is an act of eating lamp and glass but they dont feel the pain just like people in toxic relationship they hurt themselves but cant feel it the music song and her voice blend perfectly i play it over and over again great job
@padlizilikram1186,"3,7jt like ( terbanyak di Indonesia )",jt like terbanyak di indonesia
@winateguh,"Weird Genius, they’re deserve world attention",weird genius theyre deserve world attention
